Q_ID	Skill_id	Site_ID	Question_text_ru	Question_text_en	Answer	Fake_answer1	Fake_answer2	Clue	Video_url	Vid_ID	Vid_descr_local	Vid_guest_ID	Vid_channel_ID	Chapter_ID	Timestamp
15	1	1	Какой термин используется для обозначения кнопок, ползунков и других элементов	What term is used to refer to buttons, sliders, and other elements	Элементы управления (Controls)	Анимация (Animation)									
16	1	1	Как называется расстояние между элементами на макете?	What is the name of the distance between elements on the layout?	Отступ (Indent)	Отзывчивость (Responsiveness)									
17	1	1	Как называется набор цветов, используемых для создания макета?	What is the name of the set of colors used to create the layout?	Цветовая палитра (Color palette)	Цветовая палитра (Color palette)									
18	1	1	Как называется стиль и оформление текста на макете?	What is the name of the style and design of the text on the layout?	Типографика (Typography)	Компонент (Component)									
19	1	1	Какой термин используется для загрузки изображений и других файлов на макет?	What term is used to upload images and other files to a layout?	Импортирование (Importing)	Импорт (Import)									
20	1	1	Что это за символический макет, который демонстрирует функциональность и взаимодействие элементов на макете?	What is this symbolic layout that demonstrates the functionality and interaction of the elements on the layout?	Прототип (Prototype)	Шрифт (Font)									
21	1	1	Что это за функция, позволяющая пользователю изменять и взаимодействовать с элементом на макете?	What is this feature that allows the user to change and interact with an element on the layout?	Взаимодействие (Interaction)	Группировка (grouping)									
22	1	1	Какой термин означает адаптивность макета под различные размеры экранов и устройств?	Which term means adaptive layout to different screen sizes and devices?	Отзывчивость (Responsiveness)	Курсор (Cursor)									
23	1	1	Какой термин используется для готовых макетов и элементов, которые можно применить к своему проекту?	What is the term used for ready-made layouts and elements that you can apply to your project?	Шаблоны (Templates)	Прозрачность (Transparency)									
24	1	1	Что это за концепция, позволяющая использовать одни и те же элементы в разных частях макета?	What is the concept of allowing the same elements to be used in different parts of the layout?	Переиспользование (Reuse)	Прототип (Prototype)									
25	1	1	Какой параметр определяет, насколько просвечивает элемент на макете?	What parameter determines how transparent an element is on the layout?	Прозрачность (Transparency)	Интерфейс (Interface)									
26	1	1	Как называется фрагмент макета, содержащий один или несколько элементов?	What is the name of a layout fragment that contains one or more elements?	Блок (Block)	Слой (Layer)									
27	1	1	Что это за повторно используемый элемент, созданный для выполнения определенной функции на макете?	What is this reusable element created to perform a specific function on a layout?	Компонент (Component)	Абсолютное позиционирование (Absolute positioning)									
28	1	1	Какой термин используется для установки одинакового расстояния между элементами на макете?	What term is used to set equal spacing between elements in a layout?	Выравнивание (alignment)	Столбцы и строки (Columns and rows)									
29	1	1	Как называется элемент, предназначенный для ввода текста на макете?	What is the name of the element intended for entering text on the layout?	Текстовое поле (Text field)	Концепция вложенности (Nesting concept)									
30	1	1	Какой параметр позволяет располагать элементы на макете по определенной прямой линии?	What parameter allows you to arrange elements on the layout in a certain straight line?	Выравнивание (alignment)	Автоматическое выравнивание (Auto leveling)									
31	1	1	Как называется панель в Framer, отображающая порядок элементов на макете?	What is the name of the panel in Framer that displays the order of elements on the layout?	Иерархия (Hierarchy)	Геймификация (Gamification)									
32	1	1	Как называется пространство между текстом или элементами и границами макета?	What is the space between text or elements and layout borders called?	Отступ (Indent)	Веб-дизайн (Web design)									
33	1	1	Какой термин используется для объединения нескольких элементов в один, с целью улучшения производительности?	What term is used to combine multiple elements into one to improve performance?	Сборка (Assembly)	Кастомизация (Customization)									
34	1	1	Как называется всплывающая подсказка, содержащая информацию о функции или элементе интерфейса?	What is the name of a tooltip containing information about a function or interface element?	Подсказка (Clue)	Софт (Soft)									
35	1	1	Какой термин используется для готового дизайна, который можно использовать в своих проектах?	What is the term used for a finished design that you can use in your projects?	Шаблон (Sample)	Объект (An object)									
36	1	1	Как называется процесс заполнения элемента цветом или текстурой?	What is the process of filling an element with a color or texture called?	Заливка (fill)	Иерархия (Hierarchy)									
37	1	1	Какой элемент является основой иерархии элементов на макете?	Which element is the basis of the element hierarchy in the layout?	Корневой элемент (Root element)	Участок кода (Code section)									
38	1	1	Что обозначает схематическое изображение веб-страницы или приложения?	What does a schematic representation of a web page or application mean?	Макет (Layout)	Анимация (Animation)									
39	1	1	Какой термин используется для изменения внешнего вида элемента интерфейса?	What term is used to change the appearance of an interface element?	Стилизация (Stylization)	Элементы управления (Controls)									
40	1	1	Как называется процесс создания движения и изменения формы элементов на макете?	What is the process of creating movement and changing the shape of elements on a layout called?	Анимация (Animation)	Отступ (Indent)									
41	1	1	Какой термин означает адаптивность макета под различные размеры экранов?	Which term means adaptive layout to different screen sizes?	Отзывчивость (Responsiveness)	Цветовая палитра (Color palette)									
42	1	1	Как называется набор цветов, используемых в дизайне макета?	What is the name of the set of colors used in layout design?	Цветовая палитра (Color palette)	Типографика (Typography)									
43	1	1	Что означает повторно используемый элемент дизайна?	What does a reusable design element mean?	Компонент (Component)	Импортирование (Importing)									
44	1	1	Что указывает на загрузку изображений и других файлов на макет?	What indicates the loading of images and other files on the layout?	Импорт (Import)	Прототип (Prototype)									
45	1	1	Как называется набор знаков определенного стиля, используемый для отображения текста на макете?	What is the name of a character set of a certain style used to display text on a layout?	Шрифт (Font)	Взаимодействие (Interaction)									
46	1	1	Какой термин используется для объединения нескольких элементов в один на макете?	What term is used to combine multiple elements into one in a layout?	Группировка (grouping)	Отзывчивость (Responsiveness)									
47	1	1	Что показывает позицию ввода данных или текущее действие на макете?	What does the data entry position or current action show on the layout?	Курсор (Cursor)	Шаблоны (Templates)									
48	1	1	Какой параметр определяет степень непрозрачности элемента на макете?	What parameter determines the degree of opacity of an element on the layout?	Прозрачность (Transparency)	Переиспользование (Reuse)									
49	1	1	Что обозначает условный эскиз, показывающий функциональность и взаимодействие элементов на макете?	What does a conditional sketch mean, showing the functionality and interaction of elements on a layout?	Прототип (Prototype)	Прозрачность (Transparency)									
50	1	1	Какой язык используется для пользовательского интерфейса Framer? 	What language is used for Framer's user interface?	Английский (English)	Русский (Russian)									
51	1	1	Как можно точно позиционировать фреймы в Framer? 	How can frames be precisely positioned in Framer?	Абсолют (Abs)	Относительное позиционирование (Relative positioning)									
52	1	1	Какой концепт в Framer позволяет автоматически располагать фреймы в столбцах и строках? 	Which concept in Framer allows frames to be automatically organized in columns and rows?	Авто (Auto)	Случайное позиционирование (Random positioning)									
53	1	1	Что делает вложенность в Framer? 	What does nesting do in Framer?	Общие параметры (Shared parameters)	Удаляет параметры (Removes parameters)									
54	1	1	Каким образом в Framer можно задавать относительный размер для элементов интерфейса? 	How can you define relative sizing for UI elements in Framer?	Подгонка или заполнение (Fit or fill)	Абсолютный размер (Absolute size)									
55	1	1	Что означает кнопка "Открыть" в графическом редакторе? 	What does the "Open" button signify in a graphic editor?	Открыть (Open)	Позволяет сохранить файл (Allows you to save a file)									
56	1	1	Что обозначает иконка "Удалить" в интерфейсе Framer? 	What does the "Delete" icon represent in the Framer interface?	Удалить (Delete)	Копирует элемент (Duplicates the element)									
57	1	1	Как называется панель, где можно выбрать цвет в графическом редакторе? 	What is the name of the panel where you can select color in a graphic editor?	Цвет (Color)	Инструменты (Tools)									
58	1	1	Какой инструмент используется для рисования прямых линий в графическом редакторе? 	Which tool is used to draw straight lines in a graphic editor?	Линия (Line)	Кисть (Brush)									
59	1	1	Какой элемент интерфейса обычно используется для изменения размера объекта? 	Which UI element is commonly used to resize an object?	Ручка (Handle)	Кнопка "Сохранить" (Save button)									
60	1	1	Что означает кнопка "Открыть" в графическом редакторе?	What does the "Open" button mean in the graphics editor?	Открыть (Open)	Позволяет сохранить файл									
61	1	1	Что обозначает иконка "Удалить" в интерфейсе Framer?	What does the "Delete" icon mean in the Framer interface?	Удалить (Delete)	Копирует элемент									
62	1	1	Как называется панель, где можно выбрать цвет в графическом редакторе?	What is the name of the panel where you can select a color in a graphical editor? (What is the name of the panel where you can select color in a graphic editor?)	Цвет (Color)	Инструменты									
63	1	1	Какой инструмент используется для рисования прямых линий в графическом редакторе?	What tool is used to draw straight lines in a graphics editor?	Линия (Line)	Кисть									
64	1	1	Какой элемент интерфейса обычно используется для изменения размера объекта?	What interface element is commonly used to resize an object?	Ручка (Pen)	Кнопка "Сохранить"									
65	1	1	Что является "лучшим другом" дизайнера в UI проекте?	What is a designer's "best friend" in a UI project?	Грид (Grid)	Гайдлайны (Guidelines)									
66	1	1	Какой инструмент стоит взять с собой в путешествие по UI просторам?	What tool should you take with you on your UI journey?	Пиксель (Pixel)	Утка-пробник (Rubber Duck)									
67	1	1	Как называется секретный клуб, в котором собираются все UI дизайнеры?	What is the name of the secret club where all UI designers gather?	Pixel'ное Братство (Pixel Brotherhood)	Кодермэн (Coded Crusader)									
68	1	1	Как зовут волшебный инструмент, превращающий wireframe в полноценный дизайн?	What is the name of the magical tool that turns a wireframe into a full-fledged design?	Магия (Magic)	Жизнь (Life)									
69	1	1	В мире UI какое место занимает типография?	What is the role of typography in the world of UI?	Король (King)	Магическая палочка (Magic Wand)									
70	1	1	Каким суперсилам обладает легендарный "UIладелец"?	What superpowers does the legendary "UI owner" have?	Интерактивность (Interactivity)	Ящик с пикселями (Pixel Box)									
71	1	1	Какое заклинание нужно произнести для создания идеального цветового сочетания?	What spell needs to be cast to create the perfect color combination?	Сила цветов (Color Magic)	T-пикселька (Pixel Tee)									
72	1	1	Какую личину принимает UI дизайнер в светлую лунную ночь?	What disguise does a UI designer take on a bright moonlit night?	Дизайнер-елец (Design-Owl)	Круг (Circle)									
73	1	1	Что служит наставником в UI царстве?	What serves as a mentor in the UI realm?	Гайдлайны (Guidelines)	Пиксельная Фея (Pixel Fairy)									
74	1	1	Какой объект является источником вдохновения для творческих UI дизайнеров?	What object is a source of inspiration for creative UI designers?	Утка-пробник (Rubber Duck)	Пиксели (Pixels)									
75	1	1	Какой супергерой защищает UI от злых багов?	Which superhero protects the UI from evil bugs?	Кодермэн (Coded Crusader)	Любви (Love)									
76	1	1	Что происходит, когда UI элемент делает свою первую анимацию?	What happens when a UI element makes its first animation?	Жизнь (Life)	Пиксель (Pixel)									
77	1	1	Какой инструмент поможет уменьшить количество кликов при создании UI?	What tool will help reduce the number of clicks when creating a UI?	Магическая палочка (Magic Wand)	Грид (Grid)									
78	1	1	Какой объект используют UI дизайнеры для временного хранения идей?	What object do UI designers use to temporarily store ideas?	Ящик с пикселями (Pixel Box)	Пиксель (Pixel)									
79	1	1	Какой стиль одежды самый популярный у UI дизайнеров?	What is the most popular clothing style for UI designers?	T-пикселька (Pixel Tee)	Pixel'ное Братство (Pixel Brotherhood)									
80	1	1	Какой символ является логотипом UI дизайнера?	What symbol is a UI designer's logo?	Круг (Circle)	Магия (Magic)									
81	1	1	Какой сказочный персонаж дарует UI дизайнерам ночные маршруты?	Which fairy-tale character bestows night routes on UI designers?	Пиксельная Фея (Pixel Fairy)	Король (King)									
82	1	1	Какое сокровище ищут все UI исследователи?	What treasure are all UI researchers searching for?	Пиксели (Pixels)	Интерактивность (Interactivity)									
83	1	1	Чего желает UI дизайнер от программистов?	What does a UI designer want from programmers?	Любви (Love)	Сила цветов (Color Magic)									
84	1	1	Что изображено на фирменной футболке UI дизайнера?	What is shown on a UI designer's branded T-shirt?	Пиксель (Pixel)	Дизайнер-елец (Design-Owl)									
85	1	1	Что должен сделать UI дизайнер, чтобы стать незаменимым?	What should a UI designer do to become indispensable?	Удивить (Amaze)	Вебсайт (Website)									
86	1	1	Какой инструмент используется для создания магических эффектов в UI?	What tool is used to create magical effects in the UI?	Волшебство (Magic)	Предложить показы PowerPoint (Suggest PowerPoint presentations)									
87	1	1	Как называется учебное заведение, где учат UI дизайну?	What is the name of the school that teaches UI design?	Школа (School)	Фотошоп (Photoshop)									
88	1	1	Какого животного боятся плохие UI элементы?	What animal are bad UI elements afraid of?	Слоны (Elephants)	Университет (University)									
89	1	1	Что делает UI дизайнер, чтобы привнести живость в интерфейс?	What does a UI designer do to bring life to an interface?	Анимации (Animations)	Пингвины (Penguins)									
90	1	1	Как называется протокол связи между UI и программистами?	What is the name of the communication protocol between UI and programmers?	Сотрудничество (Collaboration)	Магия (Magic)									
91	1	1	Какой объект часто используют UI дизайнеры для демонстрации динамичных прототипов?	What object is often used by UI designers to demonstrate dynamic prototypes?	Телефон (Phone)	Территориальный спор (Territorial dispute)									
92	1	1	Что означает зеленая кнопка в UI дизайне?	What does the green button mean in UI design?	Перейти (Go)	Карусель (Carousel)									
93	1	1	Что говорит UI элемент, когда застревает в процессе анимации?	What does a UI element say when it gets stuck in the animation process?	Помощь (Help)	Закрыть (Close)									
94	1	1	Что делают UI дизайнеры, чтобы сохранить вдохновение?	What do UI designers do to keep inspired?	Путешествуют (Travel)	Ой (Oops)									
95	1	1	Какой стиль интерфейса пользуется большой популярностью среди UI дизайнеров?	What interface style is most popular among UI designers?	Минимализм (Minimalism)	Медитация (Meditation)									
96	1	1	Что происходит, когда UI дизайнер вносит неожиданные изменения в проект?	What happens when a UI designer makes unexpected changes to a project?	Сюрприз (Surprise)	Ретро (Retro)									
97	1	1	Какая фраза никогда не говорится UI дизайнеру?	What phrase is never said to a UI designer?	Мне нравится все (I like everything)	Паника (Panic)									
98	1	1	Какой инструмент используется для измерения точности UI элементов?	What tool is used to measure the accuracy of UI elements?	Линейка (Ruler)	Может ли страница иметь 10 цветов одновременно? (Can a page have 10 colors at once?)									
99	1	1	Как происходит "связь душ" между UI дизайнером и программистом?	How does the "connection of souls" between UI designer and programmer take place?	Коммуникация (Communication)	Пробка от ручки (Pen cap)									
100	1	1	Что считается манной небесной для UI дизайнера?	What is considered manna from heaven for a UI designer?	Комплимент (Compliment)	Невидимая нить (Invisible thread)									
101	1	1	Какая программа требуется для управления UI дизайнером?	What program is required to manage the UI designer?	Фантазия (Imagination)	Новая роль в фильме (New role in a movie)									
102	1	1	Чем увлекается UI дизайнер во время перерыва?	What does a UI designer do during a break?	Перекур (Smoke)	Рэп (Rap)									
103	1	1	Что является главным источником пищи для UI дизайнера?	What is the main food source for a UI designer?	Гибкие макеты (Flexbox)	Сборкой головоломок (Solving puzzles)									
104	1	1	Как называется область на экране, где вы можете создавать и редактировать свой веб-сайт?	What is the name of the area on the screen where you can create and edit your website?	Канваc (Canvas)	Монтажная область (Artboard)									
105	1	1	Что такое абсолютное позиционирование?	What is absolute positioning?	Абсолютное (Absolute positioning)	Статическое позиционирование (Static positioning)									
106	1	1	Как называется процесс размещения элемента внутри другого элемента?	What is the process of placing an element inside another element called?	Вложение (Nesting)	Укладка (Stacking)									
107	1	1	Что такое дочерний элемент?	What is a child element?	Дочерний элемент (Child element)	Родительский элемент (Parent element)		Фламинго	кофе-машина	рояль (Flamingo	coffee machine	piano)			
108	1	1	Какой термин описывает автоматическое позиционирование элементов в колонки и строки?	Which term describes the automatic positioning of elements in columns and rows?	Автопозиционирование (Auto positioning)	Флексбокс (Flexbox)									
109	1	1	Чему служит функция "fitContent()" в Framer?	What is the purpose of the "fitContent()" function in Framer?	Auto height (To size the element based on its content)	Чтобы центрировать элемент (To center the element)									
110	1	1	Какой термин описывает заполнение родительского элемента всем доступным пространством?	Which term describes filling the parent element with all available space?	Заполнить (Fill parent)	Flex-расти (Flex-grow)									
111	1	1	Как называется пропорциональное изменение размера элемента соответственно изменению размера родительского элемента?	What is called proportional resizing of an element according to the resizing of the parent element?	Относительный размер (Relative sizing)	Фиксированный размер (Fixed sizing)									
112	1	1	Что такое пользовательский интерфейс (user interface)?	What is a user interface?	UI (Interface that allows users to interact with a system)	Интерфейс, которым сложно пользоваться (Interface that is hard to use)		Кусачки	молоток	нитки (Scissors	hammer	thread)			
113	1	1	Какой термин описывает распространение общих параметров от родителя к дочерним элементам?	Which term describes the propagation of shared parameters from parent to child elements?	Распространение (Propagating)	Клонирование (Cloning)									
114	1	1	Как называется панель	What is the name of the panel	Toolbar (на которой располагаются инструменты для редактирования элементов в Framer?)	Панель (Панель)		паучьи лапки (Hieroglyphs	pixels	spider's paws)					
115	1	1	Что такое курсор в графическом редакторе?	What is a cursor in a graphics editor?	Курсор (Cursor)	Указатель (Pointer)									
116	1	1	Как называется способ изменения размера элемента путем изменения его ширины или высоты?	What is the name of the way to resize an element by changing its width or height?	Размер (Resizing)	Масштабирование (Scaling)									
117	1	1	Что такое группировка (grouping) элементов в Framer?	What is grouping of elements in Framer?	Группировка (Combining multiple elements into a single entity)	Выравнивание элементов (Aligning elements)									
118	1	1	Как называется инструмент для выделения и вырезания части изображения?	What is the name of the tool for selecting and cutting out a part of an image?	Обрезка (Crop tool)	Инструмент выделения (Selection tool)									
119	1	1	Что такое макет (layout) в веб-дизайне?	What is a layout in web design?	Макет (Arrangement of elements on a webpage)	Цветовая схема (Color scheme)									
120	1	1	Как называется изменение цвета элемента, если указатель мыши находится над ним?	What is the name for changing the color of an element when the mouse pointer is over it?	Ховер (Hover effect)	Эффект фокусировки (Focus effect)									
121	1	1	Что такое шрифт (font) в графическом дизайне?	What is a font in graphic design?	Шрифт (Style of letters and characters)	Типография (Typography)									
122	1	1	Как называется инструмент для рисования прямоугольника или круга?	What is the name of the tool for drawing a rectangle or circle?	Инструмент (Shape tool)	Кисть (Paintbrush)		Звезды	планеты	кометы (Stars	planets	comets)			
123	1	1	Что такое рамка (border) элемента в веб-дизайне?	What is a border element in web design?	Рамка (Outline around the element)	Тень (Shadow)									
124	1	1	Как называется расстояние между элементами на веб-странице?	What is the spacing between elements on a web page called?	Промежуток (Spacing)	Допуск (Margin)									
125	1	1	Что такое фон (background) элемента в веб-дизайне?	What is the background of an element in web design?	Фон (The visual layer behind the content)	Передний план (Foreground)									
126	1	1	Как называется набор предопределенных стилей для элементов в Framer?	What is the name of the set of predefined styles for elements in Framer?	Шаблон (Template)	Макет (Layout)									
127	1	1	Что такое выравнивание элементов в Framer?	What is element alignment in Framer?	Выравнивание (Positioning elements in relation to each other)	Вращение (Rotation)									
128	1	1	Как называется выбор цвета из палитры в графическом редакторе?	What is the name of choosing a color from a palette in a graphical editor?	Палитра (Color picker)	Инструмент заливки (Fill tool)									
129	1	1	Что такое тень (shadow) элемента в веб-дизайне?	What is an element's shadow in web design?	Тень (A visual effect indicating depth or elevation)	Эффект размытия (Blur effect)									
130	1	1	Как называется функция плавного изменения значений свойств элемента?	What is the name of the function of smoothly changing the values of the properties of an element?	Анимация (Transition)	Трансформировать (Transform)									
131	1	1	Что такое прозрачность (opacity) элемента в веб-дизайне?	What is element transparency in web design?	Прозрачность (Degree of transparency)	Видимость (Visibility)									
132	1	1	Как называется способ поворота элемента в Framer?	What is the name of the way to rotate an element in a Framer?	Поворот (Rotation)	Масштабирование (Scaling)									
133	1	1	Что такое границы (margins) элемента в веб-дизайне?	What are element margins in web design?	Границы (Space between the element and its surroundings)	Прокладка (Padding)									
134	1	1	Как называется способ выделения нескольких элементов одновременно?	What is the name of the way to select several elements at the same time?	Мультивыделение (Multiple selection)	Одиночный выбор (Single selection)									
135	1	1	Что такое выступление (outline) элемента в веб-дизайне?	What is an element's outline in web design?	Выступление (Visible border around the element)	Тень (Drop shadow)									
136	1	1	Как называется процесс вставки изображения в Framer?	What is the name of the process of inserting an image into Framer?	Вставка изображения (Image insertion)	Загрузка изображения (Image upload)									
137	1	1	Что такое отступы (padding) элемента в веб-дизайне?	What is padding on an element in web design?	Отступ (Space between the element's content and its border)	Допуск (Margin)									
138	1	1	Как называется инструмент для выбора цвета в графическом редакторе?	What is the name of the color selection tool in the graphics editor?	Пипетка (Eyedropper tool)	Зубная щетка (Brush tool)									
139	1	1	Что такое ширина (width) элемента в веб-дизайне?	What is the width of an element in web design?	Ширина (Horizontal measurement of the element)	Высота (Height)									
140	1	1	Как называется стиль, применяемый к элементу при нажатии?	What is the name of the style applied to an element when clicked?	Активное состояние (Active state)	Состояние наведения (Hover state)									
141	1	1	Что такое контрастность (contrast) в графическом дизайне?	What is contrast in graphic design?	Контрастность (Difference between light and dark areas)	Эффект размытия (Blur effect)									
142	1	1	Как называется набор предопределенных цветовых схем в Framer?	What is the name of the set of predefined color schemes in Framer?	Палитра (Color palette)	Градиент (Gradient)									
143	1	1	Что такое выравнивание по центру (center alignment) элемента в Framer?	What is the center alignment of an element in a Framer?	Выравнивание по центру (Aligning the element to the center)	Обоснуйте выравнивание (Justify alignment)									
144	1	1	Как называется инструмент для рисования свободной кривой?	What is the name of the free curve drawing tool?	Перо (Pen tool)	Инструмент заливки (Fill tool)									
145	1	1	Что такое масштабирование (scaling) элемента в веб-дизайне?	What is element scaling in web design?	Масштабирование (Changing the size of the element proportionally)	Вращение (Rotation)									
146	1	1	Как называется функция для повторного использования стилей в Framer?	What is the name of the function for reusing styles in Framer?	Компонент (Component)	Сорт (Class)									
147	1	1	Что такое прозрачный фон (transparent background) в графическом дизайне?	What is a transparent background in graphic design?	Прозрачный фон (Background with no visible color or pattern)	Фон изображения (Image background)									
148	1	1	Как называется сетка (grid) в веб-дизайне?	What is a grid called in web design?	Сетка (A system of horizontal and vertical lines)	Маскировка (Masking)									
149	1	1	Что такое CSS в веб-дизайне?	What is CSS in web design?	СSS (Cascading Style Sheets)	HTML (HTML)									
150	1	1	Как называется инструмент для рисования линии?	What is the name of the line drawing tool?	Линия (Line tool)	Карандаш (Pencil tool)									
151	1	1	Что такое библиотека (library) в Framer?	What is a library in Framer?	Библиотека (A collection of reusable design elements)	Панель настроек (Settings panel)									
152	1	1	Как называется функция для изменения порядка слоев элементов?	What is the name of the function to change the order of layers of elements?	Слои (Layering)	Группировка (Grouping)									
153	1	1	Что такое пиксель (pixel) в графическом дизайне?	What is a pixel in graphic design?	Пиксель (Smallest unit of a digital image)	Вектор (Vector)									
154	1	1	Как называется процесс изменения прозрачности элемента в Framer?	What is the process of changing the transparency of an element in Framer called?	Прозрачность (Opacity)	Видимость (Visibility)									
155	1	1	Что такое градиент (gradient) в графическом дизайне?	What is a gradient in graphic design?	Градиент (Smooth transition between colors)	Шаблон (Pattern)									
156	1	1	Как называется инструмент для рисования эллипса или окружности?	What is the name of the tool for drawing an ellipse or circle?	Эллипс (Ellipse tool)	Инструмент «Прямоугольник» (Rectangle tool)									
157	1	1	Что такое адаптивный дизайн (adaptive design) в веб-дизайне?	What is adaptive design in web design?	Адаптивный дизайн (Design that adjusts to different screen sizes)	Фиксированная раскладка (Fixed layout)									
158	1	1	Как называется способ редактирования текстового содержимого элемента в Framer?	What is the name of the way to edit the text content of an element in a Framer?	Редактирование текста (Text editing)	Форматирование текста (Text formatting)									
159	1	1	Что такое выравнивание по вертикали (vertical alignment) элемента в Framer?	What is the vertical alignment of an element in a Framer?	Выравнивание по вертикали (Aligning the element vertically)	Выравнивание элемента по левому краю (Aligning the element to the left)									
160	1	1	Как называется кнопка для отмены последнего действия в графическом редакторе?	What is the name of the button to undo the last action in the graphical editor?	Отменить (Undo button)	Кнопка «Повторить» (Redo button)									
161	1	1	Что такое границы (borders) в графическом дизайне?	What are borders in graphic design?	Границы (Lines around the edge of an element)	Фильтры (Filters)									
162	1	1	Как называется инструмент для выделения области изображения?	What is the name of the selection tool?	Выделение (Marquee tool)	Ластик (Eraser tool)									
163	1	1	Что такое применение стилей (applying styles) к элементам в Framer?	What is applying styles to elements in Framer?	Применение стилей (Setting visual properties of elements)	Составляющие элементы (Composing elements)									
164	1	1	Как называется инструмент для рисования полигона или ломаной?	What is the name of the tool for drawing a polygon or polyline?	Полигон (Polygon tool)	Инструмент заливки (Fill tool)									
165	1	1	Что такое дистанцирование (spacing) элементов в веб-дизайне?	What is element spacing in web design?	Дистанцирование (Arrangement of space between elements)	Маскировка (Masking)									
166	1	1	Как называется способ изменения цвета заливки элемента в Framer?	What is the name of the way to change the fill color of an element in Framer?	Заливка (Fill color)	Цвет обводки (Stroke color)									
167	1	1	Что такое репозиторий (repository) в Framer?	What is a repository in Framer?	Репозиторий (Storage for project files and version control)	Библиотека компонентов (Component library)									
168	1	1	Как называется инструмент для выделения области с перетаскиванием?	What is the drag and drop selection tool called?	Выделение (Lasso tool)	Инструмент для обрезки (Crop tool)									
169	1	1	Что такое заголовок (heading) в веб-дизайне?	What is a heading in web design?	Заголовок (Text element that indicates the topic or section)	Параграф (Paragraph)									
170	1	1	Как называется функция позволяющая анимировать элементы в Framer?	What is the name of the function that allows you to animate elements in Framer?	Анимация (Animation)	Переход (Transition)									
171	1	1	Что такое приманка (placeholder) в графическом дизайне?	What is a placeholder in graphic design?	Затычка (Temporary text or image placeholder)	Реальный контент (Real content)									
172	1	1	Как называется способ изменения масштаба элемента в Framer?	What is the name of the way to change the scale of an element in a Framer?	Масштабирование (Zooming)	Вращение (Rotation)									
173	1	1	Что такое холст (canvas) в графическом дизайне?	What is canvas in graphic design?	Холст (Area where you create and edit a design)	Рабочая среда (Workspace)									
174	1	1	Что такое интерактивность (interactivity) в веб-дизайне?	What is interactivity in web design?	Интерактивность (Ability for users to interact with elements)	Статический макет (Static layout)									
175	1	1	Как называется функция для создания анимации пути движения элемента в Framer?	What is the name of the function to animate the motion path of an element in a Framer?	Анимация пути (Path animation)	Анимация затухания (Fade animation)									
176	1	1	Что такое медиа-запрос (media query) в адаптивном дизайне?	What is a media query in responsive design?	Медиа-запрос (Condition for applying specific styles based on device characteristics)	Эффект перехода (Transition effect)									
