Q_ID	Skill_ID	Site_ID	Question_text_ru	Question_text_en	Answer	Fake_answer	Clue_ru	Clue_en	Video_url	Vid_ID	Vid_descr_local	Vid_guest_ID	Vid_channel_ID	Chapter_ID	Timestamp	a_en	a_ru	fa_en	fa_ru
68	1	1	В мире UI какое место занимает типография?	What is the role of typography in the world of UI?	King (Король)	Magic Wand (Магическая палочка)	Виртуальный монарх, главный хранитель маленьких цифровых королевств.	The virtual monarch, the supreme keeper of tiny digital kingdoms.	youto.be	fsdhe	bla bla	13	13	13	423423	King	Король	Magic Wand	Магическая палочка
69	1	1	Каким суперсилам обладает легендарный "UIладелец"?	What superpowers does the legendary "UI owner" have?	Interactivity (Интерактивность)	Pixel Box (Ящик с пикселями)	Чертовски интересное свойство, которое позволяет пользователю самому управлять происходящим в программе.	A devilishly intriguing property that allows the user to control what's happening in the program.	youto.be	fsdhe	bla bla	13	13	13	423423	Interactivity	Интерактивность	Pixel Box	Ящик с пикселями
70	1	1	Какое заклинание нужно произнести для создания идеального цветового сочетания?	What spell needs to be cast to create the perfect color combination?	Color Magic (Сила цветов)	Pixel Tee (T-пикселька)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Color Magic	Сила цветов	Pixel Tee	T-пикселька
71	1	1	Какую личину принимает UI дизайнер в светлую лунную ночь?	What disguise does a UI designer take on a bright moonlit night?	Design-Owl (Дизайнер-елец)	Circle (Круг)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Design-Owl	Дизайнер-елец	Circle	Круг
72	1	1	Что служит наставником в UI царстве?	What serves as a mentor in the UI realm?	Guidelines (Гайдлайны)	Pixel Fairy (Пиксельная Фея)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Guidelines	Гайдлайны	Pixel Fairy	Пиксельная Фея
73	1	1	Какой объект является источником вдохновения для творческих UI дизайнеров?	What object is a source of inspiration for creative UI designers?	Rubber Duck (Утка-пробник)	Pixels (Пиксели)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Rubber Duck	Утка-пробник	Pixels	Пиксели
74	1	1	Какой супергерой защищает UI от злых багов?	Which superhero protects the UI from evil bugs?	Coded Crusader (Кодермэн)	Love (Любви)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Coded Crusader	Кодермэн	Love	Любви
75	1	1	Что происходит, когда UI элемент делает свою первую анимацию?	What happens when a UI element makes its first animation?	Life (Жизнь)	Pixel (Пиксель)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Life	Жизнь	Pixel	Пиксель
76	1	1	Какой инструмент поможет уменьшить количество кликов при создании UI?	What tool will help reduce the number of clicks when creating a UI?	Magic Wand (Магическая палочка)	Grid (Грид)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Magic Wand	Магическая палочка	Grid	Грид
77	1	1	Какой объект используют UI дизайнеры для временного хранения идей?	What object do UI designers use to temporarily store ideas?	Pixel Box (Ящик с пикселями)	Pixel (Пиксель)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Pixel Box	Ящик с пикселями	Pixel	Пиксель
78	1	1	Какой стиль одежды самый популярный у UI дизайнеров?	What is the most popular clothing style for UI designers?	Pixel Tee (T-пикселька)	Pixel Brotherhood (Pixel'ное Братство)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Pixel Tee	T-пикселька	Pixel Brotherhood	Pixel'ное Братство
79	1	1	Какой символ является логотипом UI дизайнера?	What symbol is a UI designer's logo?	Circle (Круг)	Magic (Магия)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Circle	Круг	Magic	Магия
80	1	1	Какой сказочный персонаж дарует UI дизайнерам ночные маршруты?	Which fairy-tale character bestows night routes on UI designers?	Pixel Fairy (Пиксельная Фея)	King (Король)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Pixel Fairy	Пиксельная Фея	King	Король
81	1	1	Какое сокровище ищут все UI исследователи?	What treasure are all UI researchers searching for?	Pixels (Пиксели)	Interactivity (Интерактивность)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Pixels	Пиксели	Interactivity	Интерактивность
82	1	1	Чего желает UI дизайнер от программистов?	What does a UI designer want from programmers?	Love (Любви)	Color Magic (Сила цветов)	лол	lol	youto.be	fsdhe	bla bla	13	13	13	423423	Love	Любви	Color Magic	Сила цветов
