Как зовут волшебный инструмент, превращающий wireframe в полноценный дизайн?	What is the name of the magical tool that turns a wireframe into a full-fledged design?	Магия (Magic)	Жизнь (Life)							
В мире UI какое место занимает типография?	What is the role of typography in the world of UI?	Король (King)	Магическая палочка (Magic Wand)							
Каким суперсилам обладает легендарный "UIладелец"?	What superpowers does the legendary "UI owner" have?	Интерактивность (Interactivity)	Ящик с пикселями (Pixel Box)							
Какое заклинание нужно произнести для создания идеального цветового сочетания?	What spell needs to be cast to create the perfect color combination?	Сила цветов (Color Magic)	T-пикселька (Pixel Tee)							
Какую личину принимает UI дизайнер в светлую лунную ночь?	What disguise does a UI designer take on a bright moonlit night?	Дизайнер-елец (Design-Owl)	Круг (Circle)							
Что служит наставником в UI царстве?	What serves as a mentor in the UI realm?	Гайдлайны (Guidelines)	Пиксельная Фея (Pixel Fairy)							
Какой объект является источником вдохновения для творческих UI дизайнеров?	What object is a source of inspiration for creative UI designers?	Утка-пробник (Rubber Duck)	Пиксели (Pixels)							
Какой супергерой защищает UI от злых багов?	Which superhero protects the UI from evil bugs?	Кодермэн (Coded Crusader)	Любви (Love)							
Что происходит, когда UI элемент делает свою первую анимацию?	What happens when a UI element makes its first animation?	Жизнь (Life)	Пиксель (Pixel)							
Какой инструмент поможет уменьшить количество кликов при создании UI?	What tool will help reduce the number of clicks when creating a UI?	Магическая палочка (Magic Wand)	Грид (Grid)							
Какой объект используют UI дизайнеры для временного хранения идей?	What object do UI designers use to temporarily store ideas?	Ящик с пикселями (Pixel Box)	Пиксель (Pixel)							
Какой стиль одежды самый популярный у UI дизайнеров?	What is the most popular clothing style for UI designers?	T-пикселька (Pixel Tee)	Pixel'ное Братство (Pixel Brotherhood)							
Какой символ является логотипом UI дизайнера?	What symbol is a UI designer's logo?	Круг (Circle)	Магия (Magic)							
Какой сказочный персонаж дарует UI дизайнерам ночные маршруты?	Which fairy-tale character bestows night routes on UI designers?	Пиксельная Фея (Pixel Fairy)	Король (King)							
Какое сокровище ищут все UI исследователи?	What treasure are all UI researchers searching for?	Пиксели (Pixels)	Интерактивность (Interactivity)							
Чего желает UI дизайнер от программистов?	What does a UI designer want from programmers?	Любви (Love)	Сила цветов (Color Magic)							
Что изображено на фирменной футболке UI дизайнера?	What is shown on a UI designer's branded T-shirt?	Пиксель (Pixel)	Дизайнер-елец (Design-Owl)							
Что должен сделать UI дизайнер, чтобы стать незаменимым?	What should a UI designer do to become indispensable?	Удивить (Amaze)	Вебсайт (Website)							
Какой инструмент используется для создания магических эффектов в UI?	What tool is used to create magical effects in the UI?	Волшебство (Magic)	Предложить показы PowerPoint (Suggest PowerPoint presentations)							
Как называется учебное заведение, где учат UI дизайну?	What is the name of the school that teaches UI design?	Школа (School)	Фотошоп (Photoshop)							
Какого животного боятся плохие UI элементы?	What animal are bad UI elements afraid of?	Слоны (Elephants)	Университет (University)							
Что делает UI дизайнер, чтобы привнести живость в интерфейс?	What does a UI designer do to bring life to an interface?	Анимации (Animations)	Пингвины (Penguins)							
Как называется протокол связи между UI и программистами?	What is the name of the communication protocol between UI and programmers?	Сотрудничество (Collaboration)	Магия (Magic)							
Какой объект часто используют UI дизайнеры для демонстрации динамичных прототипов?	What object is often used by UI designers to demonstrate dynamic prototypes?	Телефон (Phone)	Территориальный спор (Territorial dispute)							
Что означает зеленая кнопка в UI дизайне?	What does the green button mean in UI design?	Перейти (Go)	Карусель (Carousel)							
Что говорит UI элемент, когда застревает в процессе анимации?	What does a UI element say when it gets stuck in the animation process?	Помощь (Help)	Закрыть (Close)							
Что делают UI дизайнеры, чтобы сохранить вдохновение?	What do UI designers do to keep inspired?	Путешествуют (Travel)	Ой (Oops)							
Какой стиль интерфейса пользуется большой популярностью среди UI дизайнеров?	What interface style is most popular among UI designers?	Минимализм (Minimalism)	Медитация (Meditation)							
Что происходит, когда UI дизайнер вносит неожиданные изменения в проект?	What happens when a UI designer makes unexpected changes to a project?	Сюрприз (Surprise)	Ретро (Retro)							
Какая фраза никогда не говорится UI дизайнеру?	What phrase is never said to a UI designer?	Мне нравится все (I like everything)	Паника (Panic)							
Какой инструмент используется для измерения точности UI элементов?	What tool is used to measure the accuracy of UI elements?	Линейка (Ruler)	Может ли страница иметь 10 цветов одновременно? (Can a page have 10 colors at once?)							
Как происходит "связь душ" между UI дизайнером и программистом?	How does the "connection of souls" between UI designer and programmer take place?	Коммуникация (Communication)	Пробка от ручки (Pen cap)							
Что считается манной небесной для UI дизайнера?	What is considered manna from heaven for a UI designer?	Комплимент (Compliment)	Невидимая нить (Invisible thread)							
Какая программа требуется для управления UI дизайнером?	What program is required to manage the UI designer?	Фантазия (Imagination)	Новая роль в фильме (New role in a movie)							
Чем увлекается UI дизайнер во время перерыва?	What does a UI designer do during a break?	Перекур (Smoke)	Рэп (Rap)							
Что является главным источником пищи для UI дизайнера?	What is the main food source for a UI designer?	Гибкие макеты (Flexbox)	Сборкой головоломок (Solving puzzles)							
Как называется область на экране, где вы можете создавать и редактировать свой веб-сайт?	What is the name of the area on the screen where you can create and edit your website?	Канваc (Canvas)	Монтажная область (Artboard)							
Что такое абсолютное позиционирование?	What is absolute positioning?	Абсолютное (Absolute positioning)	Статическое позиционирование (Static positioning)							
Как называется процесс размещения элемента внутри другого элемента?	What is the process of placing an element inside another element called?	Вложение (Nesting)	Укладка (Stacking)							
Что такое дочерний элемент?	What is a child element?	Дочерний элемент (Child element)	Родительский элемент (Parent element)			Фламинго	кофе-машина	рояль (Flamingo	coffee machine	piano)
Какой термин описывает автоматическое позиционирование элементов в колонки и строки?	Which term describes the automatic positioning of elements in columns and rows?	Автопозиционирование (Auto positioning)	Флексбокс (Flexbox)							
Чему служит функция "fitContent()" в Framer?	What is the purpose of the "fitContent()" function in Framer?	Auto height (To size the element based on its content)	Чтобы центрировать элемент (To center the element)							
Какой термин описывает заполнение родительского элемента всем доступным пространством?	Which term describes filling the parent element with all available space?	Заполнить (Fill parent)	Flex-расти (Flex-grow)							
Как называется пропорциональное изменение размера элемента соответственно изменению размера родительского элемента?	What is called proportional resizing of an element according to the resizing of the parent element?	Относительный размер (Relative sizing)	Фиксированный размер (Fixed sizing)							
Что такое пользовательский интерфейс (user interface)?	What is a user interface?	UI (Interface that allows users to interact with a system)	Интерфейс, которым сложно пользоваться (Interface that is hard to use)			Кусачки	молоток	нитки (Scissors	hammer	thread)
Какой термин описывает распространение общих параметров от родителя к дочерним элементам?	Which term describes the propagation of shared parameters from parent to child elements?	Распространение (Propagating)	Клонирование (Cloning)							
Как называется панель	What is the name of the panel	Toolbar (на которой располагаются инструменты для редактирования элементов в Framer?)	Панель (Панель)			паучьи лапки (Hieroglyphs	pixels	spider's paws)		
Что такое курсор в графическом редакторе?	What is a cursor in a graphics editor?	Курсор (Cursor)	Указатель (Pointer)							
Как называется способ изменения размера элемента путем изменения его ширины или высоты?	What is the name of the way to resize an element by changing its width or height?	Размер (Resizing)	Масштабирование (Scaling)							
Что такое группировка (grouping) элементов в Framer?	What is grouping of elements in Framer?	Группировка (Combining multiple elements into a single entity)	Выравнивание элементов (Aligning elements)							
Как называется инструмент для выделения и вырезания части изображения?	What is the name of the tool for selecting and cutting out a part of an image?	Обрезка (Crop tool)	Инструмент выделения (Selection tool)							
Что такое макет (layout) в веб-дизайне?	What is a layout in web design?	Макет (Arrangement of elements on a webpage)	Цветовая схема (Color scheme)							
Как называется изменение цвета элемента, если указатель мыши находится над ним?	What is the name for changing the color of an element when the mouse pointer is over it?	Ховер (Hover effect)	Эффект фокусировки (Focus effect)							
Что такое шрифт (font) в графическом дизайне?	What is a font in graphic design?	Шрифт (Style of letters and characters)	Типография (Typography)							
Как называется инструмент для рисования прямоугольника или круга?	What is the name of the tool for drawing a rectangle or circle?	Инструмент (Shape tool)	Кисть (Paintbrush)			Звезды	планеты	кометы (Stars	planets	comets)
Что такое рамка (border) элемента в веб-дизайне?	What is a border element in web design?	Рамка (Outline around the element)	Тень (Shadow)							
Как называется расстояние между элементами на веб-странице?	What is the spacing between elements on a web page called?	Промежуток (Spacing)	Допуск (Margin)							
Что такое фон (background) элемента в веб-дизайне?	What is the background of an element in web design?	Фон (The visual layer behind the content)	Передний план (Foreground)							
Как называется набор предопределенных стилей для элементов в Framer?	What is the name of the set of predefined styles for elements in Framer?	Шаблон (Template)	Макет (Layout)							
Что такое выравнивание элементов в Framer?	What is element alignment in Framer?	Выравнивание (Positioning elements in relation to each other)	Вращение (Rotation)							
Как называется выбор цвета из палитры в графическом редакторе?	What is the name of choosing a color from a palette in a graphical editor?	Палитра (Color picker)	Инструмент заливки (Fill tool)							
Что такое тень (shadow) элемента в веб-дизайне?	What is an element's shadow in web design?	Тень (A visual effect indicating depth or elevation)	Эффект размытия (Blur effect)							
Как называется функция плавного изменения значений свойств элемента?	What is the name of the function of smoothly changing the values of the properties of an element?	Анимация (Transition)	Трансформировать (Transform)							
Что такое прозрачность (opacity) элемента в веб-дизайне?	What is element transparency in web design?	Прозрачность (Degree of transparency)	Видимость (Visibility)							
Как называется способ поворота элемента в Framer?	What is the name of the way to rotate an element in a Framer?	Поворот (Rotation)	Масштабирование (Scaling)							
Что такое границы (margins) элемента в веб-дизайне?	What are element margins in web design?	Границы (Space between the element and its surroundings)	Прокладка (Padding)							
Как называется способ выделения нескольких элементов одновременно?	What is the name of the way to select several elements at the same time?	Мультивыделение (Multiple selection)	Одиночный выбор (Single selection)							
Что такое выступление (outline) элемента в веб-дизайне?	What is an element's outline in web design?	Выступление (Visible border around the element)	Тень (Drop shadow)							
Как называется процесс вставки изображения в Framer?	What is the name of the process of inserting an image into Framer?	Вставка изображения (Image insertion)	Загрузка изображения (Image upload)							
Что такое отступы (padding) элемента в веб-дизайне?	What is padding on an element in web design?	Отступ (Space between the element's content and its border)	Допуск (Margin)							
Как называется инструмент для выбора цвета в графическом редакторе?	What is the name of the color selection tool in the graphics editor?	Пипетка (Eyedropper tool)	Зубная щетка (Brush tool)							
Что такое ширина (width) элемента в веб-дизайне?	What is the width of an element in web design?	Ширина (Horizontal measurement of the element)	Высота (Height)							
Как называется стиль, применяемый к элементу при нажатии?	What is the name of the style applied to an element when clicked?	Активное состояние (Active state)	Состояние наведения (Hover state)							
Что такое контрастность (contrast) в графическом дизайне?	What is contrast in graphic design?	Контрастность (Difference between light and dark areas)	Эффект размытия (Blur effect)							
Как называется набор предопределенных цветовых схем в Framer?	What is the name of the set of predefined color schemes in Framer?	Палитра (Color palette)	Градиент (Gradient)							
Что такое выравнивание по центру (center alignment) элемента в Framer?	What is the center alignment of an element in a Framer?	Выравнивание по центру (Aligning the element to the center)	Обоснуйте выравнивание (Justify alignment)							
Как называется инструмент для рисования свободной кривой?	What is the name of the free curve drawing tool?	Перо (Pen tool)	Инструмент заливки (Fill tool)							
Что такое масштабирование (scaling) элемента в веб-дизайне?	What is element scaling in web design?	Масштабирование (Changing the size of the element proportionally)	Вращение (Rotation)							
Как называется функция для повторного использования стилей в Framer?	What is the name of the function for reusing styles in Framer?	Компонент (Component)	Сорт (Class)							
Что такое прозрачный фон (transparent background) в графическом дизайне?	What is a transparent background in graphic design?	Прозрачный фон (Background with no visible color or pattern)	Фон изображения (Image background)							
Как называется сетка (grid) в веб-дизайне?	What is a grid called in web design?	Сетка (A system of horizontal and vertical lines)	Маскировка (Masking)							
Что такое CSS в веб-дизайне?	What is CSS in web design?	СSS (Cascading Style Sheets)	HTML (HTML)							
Как называется инструмент для рисования линии?	What is the name of the line drawing tool?	Линия (Line tool)	Карандаш (Pencil tool)							
Что такое библиотека (library) в Framer?	What is a library in Framer?	Библиотека (A collection of reusable design elements)	Панель настроек (Settings panel)							
Как называется функция для изменения порядка слоев элементов?	What is the name of the function to change the order of layers of elements?	Слои (Layering)	Группировка (Grouping)							
Что такое пиксель (pixel) в графическом дизайне?	What is a pixel in graphic design?	Пиксель (Smallest unit of a digital image)	Вектор (Vector)							
Как называется процесс изменения прозрачности элемента в Framer?	What is the process of changing the transparency of an element in Framer called?	Прозрачность (Opacity)	Видимость (Visibility)							
Что такое градиент (gradient) в графическом дизайне?	What is a gradient in graphic design?	Градиент (Smooth transition between colors)	Шаблон (Pattern)							
Как называется инструмент для рисования эллипса или окружности?	What is the name of the tool for drawing an ellipse or circle?	Эллипс (Ellipse tool)	Инструмент «Прямоугольник» (Rectangle tool)							
Что такое адаптивный дизайн (adaptive design) в веб-дизайне?	What is adaptive design in web design?	Адаптивный дизайн (Design that adjusts to different screen sizes)	Фиксированная раскладка (Fixed layout)							
Как называется способ редактирования текстового содержимого элемента в Framer?	What is the name of the way to edit the text content of an element in a Framer?	Редактирование текста (Text editing)	Форматирование текста (Text formatting)							
Что такое выравнивание по вертикали (vertical alignment) элемента в Framer?	What is the vertical alignment of an element in a Framer?	Выравнивание по вертикали (Aligning the element vertically)	Выравнивание элемента по левому краю (Aligning the element to the left)							
Как называется кнопка для отмены последнего действия в графическом редакторе?	What is the name of the button to undo the last action in the graphical editor?	Отменить (Undo button)	Кнопка «Повторить» (Redo button)							
Что такое границы (borders) в графическом дизайне?	What are borders in graphic design?	Границы (Lines around the edge of an element)	Фильтры (Filters)							
Как называется инструмент для выделения области изображения?	What is the name of the selection tool?	Выделение (Marquee tool)	Ластик (Eraser tool)							
Что такое применение стилей (applying styles) к элементам в Framer?	What is applying styles to elements in Framer?	Применение стилей (Setting visual properties of elements)	Составляющие элементы (Composing elements)							
Как называется инструмент для рисования полигона или ломаной?	What is the name of the tool for drawing a polygon or polyline?	Полигон (Polygon tool)	Инструмент заливки (Fill tool)							
Что такое дистанцирование (spacing) элементов в веб-дизайне?	What is element spacing in web design?	Дистанцирование (Arrangement of space between elements)	Маскировка (Masking)							
Как называется способ изменения цвета заливки элемента в Framer?	What is the name of the way to change the fill color of an element in Framer?	Заливка (Fill color)	Цвет обводки (Stroke color)							
Что такое репозиторий (repository) в Framer?	What is a repository in Framer?	Репозиторий (Storage for project files and version control)	Библиотека компонентов (Component library)							
Как называется инструмент для выделения области с перетаскиванием?	What is the drag and drop selection tool called?	Выделение (Lasso tool)	Инструмент для обрезки (Crop tool)							
Что такое заголовок (heading) в веб-дизайне?	What is a heading in web design?	Заголовок (Text element that indicates the topic or section)	Параграф (Paragraph)							
Как называется функция позволяющая анимировать элементы в Framer?	What is the name of the function that allows you to animate elements in Framer?	Анимация (Animation)	Переход (Transition)							
Что такое приманка (placeholder) в графическом дизайне?	What is a placeholder in graphic design?	Затычка (Temporary text or image placeholder)	Реальный контент (Real content)							
Как называется способ изменения масштаба элемента в Framer?	What is the name of the way to change the scale of an element in a Framer?	Масштабирование (Zooming)	Вращение (Rotation)							
Что такое холст (canvas) в графическом дизайне?	What is canvas in graphic design?	Холст (Area where you create and edit a design)	Рабочая среда (Workspace)							
Что такое интерактивность (interactivity) в веб-дизайне?	What is interactivity in web design?	Интерактивность (Ability for users to interact with elements)	Статический макет (Static layout)							
Как называется функция для создания анимации пути движения элемента в Framer?	What is the name of the function to animate the motion path of an element in a Framer?	Анимация пути (Path animation)	Анимация затухания (Fade animation)							
Что такое медиа-запрос (media query) в адаптивном дизайне?	What is a media query in responsive design?	Медиа-запрос (Condition for applying specific styles based on device characteristics)	Эффект перехода (Transition effect)							
Как называется процесс изменения позиции элемента во времени в Framer?	What is the name of the process of changing the position of an element in time in a Framer?	Ключевые кадры (Animation keyframes)	Обновление макета (Layout update)							
Что такое полупрозрачность (translucency) в графическом дизайне?	What is translucency in graphic design?	Полупрозрачность (Partial transparency)	Выцветший эффект (Faded effect)							
Как называется инструмент для изменения формы элемента в графическом редакторе?	What is the name of the tool for changing the shape of an element in a graphical editor?	Перо (Pen tool)	Инструмент для обрезки (Crop tool)							
Что такое функция ease-in-out в анимации в Framer?	What is ease-in-out function in framer animation?	Ease-in-out (Smooth acceleration and deceleration)	Линейная скорость (Linear speed)							
Как называется техника веб-дизайна	What is the web design technique called?	Визуальная иерархия (Visual hierarchy)	Фоновый фокус (Background focus)							
Что такое векторная графика (vector graphics) в графическом дизайне?	What is vector graphics in graphic design?	Векторная графика (Graphics created using mathematical equations)	Растровая графика (Raster graphics)							
Как называется способ вычисления и установки значения свойства элемента в Framer?	What is the name of the way to calculate and set the value of an element property in a Framer?	Вычисление значения (Variable calculation and assignment)	Статическое назначение (Static assignment)							
Что такое отражение (reflection) элемента в веб-дизайне?	What is element reflection in web design?	Отражение (Mirror-like effect below the element)	Эффект размытия (Blur effect)							
Как называется уровень прозрачностиб который позволяет увидеть содержимое нижележащего элемента?	What is the transparency level called, which allows you to see the content of the underlying element?	Прозрачность (Opacity)	Видимость (Visibility)							
Что называется спрайт (Sprite) в графическом дизайне?	What is a sprite in graphic design?	Спрайт (A single graphic that contains multiple images or frames)	Икона (Icon)							
Как называется техника плавного перехода цвета от одного к другому?	What is the name of the technique of smooth transition of color from one to another?	Градиент (Gradient)	Смешивать (Blend)							
Что такое сглаживание (anti-aliasing) в графическом дизайне?	What is anti-aliasing in graphic design?	Сглаживание (Technique to smooth jagged edges)	Заточка (Sharpening)							
Как называется команда для повторения последнего действия в графическом редакторе?	What is the name of the command to repeat the last action in the graphical editor?	Повторить (Redo)	Отменить (Undo)							
Что такое оверлей (overlay) в веб-дизайне?	What is an overlay in web design?	Оверлей (Additional layer on top of the content)	Фон (Background)							
Как называется способ управления порядком отображения элементов в Framer?	What is the name of the way to control the display order of elements in a Framer?	Z-индекс (Z-indexing)	Порядок укладки (Stacking order)							
Что такое качество (resolution) изображения в графическом дизайне?	What is image quality (resolution) in graphic design?	Качество (Clarity and level of detail)	Формат изображения (Image format)							
Как называется способ масштабирования элементов в Framer?	What is the name of the way to scale elements in Framer?	Масштабирование (Scaling)	Вращение (Rotation)							
